Steps = 25, Explorations = 13, Exploitations = 11, Epsilon rate = 0.5687675442341942, Episode = 169
Steps = 13, Explorations = 5, Exploitations = 7, Epsilon rate = 0.5680853984425915, Episode = 170
Steps = 22, Explorations = 14, Exploitations = 7, Epsilon rate = 0.5668936113299852, Episode = 171
Steps = 14, Explorations = 9, Exploitations = 4, Epsilon rate = 0.5661570916501819, Episode = 172
Steps = 23, Explorations = 15, Exploitations = 7, Epsilon rate = 0.5649128529999652, Episode = 173
Steps = 20, Explorations = 9, Exploitations = 10, Epsilon rate = 0.5638404840330624, Episode = 174
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.5629953150830508, Episode = 175
Steps = 26, Explorations = 14, Exploitations = 11, Epsilon rate = 0.5615895144871109, Episode = 176
Steps = 14, Explorations = 7, Exploitations = 6, Epsilon rate = 0.5608598859975246, Episode = 177
Steps = 13, Explorations = 5, Exploitations = 7, Epsilon rate = 0.560187224178491, Episode = 178
Steps = 20, Explorations = 12, Exploitations = 7, Epsilon rate = 0.5591238258301009, Episode = 179
Steps = 23, Explorations = 12, Exploitations = 10, Epsilon rate = 0.5578950441286707, Episode = 180
Steps = 13, Explorations = 6, Exploitations = 6, Epsilon rate = 0.5572259381637363, Episode = 181
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.556390684090264, Episode = 182
Steps = 31, Explorations = 18, Exploitations = 12, Epsilon rate = 0.5547239300800472, Episode = 183
Steps = 26, Explorations = 17, Exploitations = 8, Epsilon rate = 0.5533387831514739, Episode = 184
Steps = 20, Explorations = 10, Exploitations = 9, Epsilon rate = 0.5522883851368345, Episode = 185
Steps = 15, Explorations = 8, Exploitations = 6, Epsilon rate = 0.5515156837790957, Episode = 186
Steps = 13, Explorations = 6, Exploitations = 6, Epsilon rate = 0.5508542288376057, Episode = 187
Steps = 39, Explorations = 26, Exploitations = 12, Epsilon rate = 0.5487648506303087, Episode = 188
Steps = 20, Explorations = 8, Exploitations = 11, Epsilon rate = 0.5477231352704656, Episode = 189
Steps = 10, Explorations = 2, Exploitations = 7, Epsilon rate = 0.5472303815830492, Episode = 190
Steps = 13, Explorations = 6, Exploitations = 6, Epsilon rate = 0.5465740661768375, Episode = 191
Steps = 11, Explorations = 3, Exploitations = 7, Epsilon rate = 0.5460277380034131, Episode = 192
Steps = 23, Explorations = 11, Exploitations = 11, Epsilon rate = 0.5448277374633971, Episode = 193
Steps = 13, Explorations = 6, Exploitations = 6, Epsilon rate = 0.5441743036449127, Episode = 194
Steps = 27, Explorations = 17, Exploitations = 9, Epsilon rate = 0.5427612176078828, Episode = 195
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.5421102622497764, Episode = 196
Steps = 17, Explorations = 13, Exploitations = 3, Epsilon rate = 0.5412435360590084, Episode = 197
Steps = 35, Explorations = 27, Exploitations = 7, Epsilon rate = 0.5394063411763523, Episode = 198
Steps = 13, Explorations = 4, Exploitations = 8, Epsilon rate = 0.5387594094564833, Episode = 199
Steps = 29, Explorations = 19, Exploitations = 9, Epsilon rate = 0.5372529178566997, Episode = 200
Steps = 31, Explorations = 18, Exploitations = 12, Epsilon rate = 0.5356434939735473, Episode = 201
Steps = 17, Explorations = 7, Exploitations = 9, Epsilon rate = 0.5347871068555193, Episode = 202
Steps = 20, Explorations = 10, Exploitations = 9, Epsilon rate = 0.533771925320445, Episode = 203
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5330784380070096, Episode = 204
Steps = 17, Explorations = 7, Exploitations = 9, Epsilon rate = 0.5322261519018974, Episode = 205
Steps = 14, Explorations = 5, Exploitations = 8, Epsilon rate = 0.531534672888645, Episode = 206
Steps = 20, Explorations = 9, Exploitations = 10, Epsilon rate = 0.5305256654195961, Episode = 207
Steps = 9, Explorations = 2, Exploitations = 6, Epsilon rate = 0.5301013934047409, Episode = 208
Steps = 23, Explorations = 15, Exploitations = 7, Epsilon rate = 0.5289363940575009, Episode = 209
